"image href","image src","job_link","job_link href","company-name","salary","location","time","time 2","time 3","time 4","welfare","welfare 2","welfare 3","apply-button href"
"https://careerviet.vn/vi/nha-tuyen-dung/ila-viet-nam.35A839E1.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot3%2F217313%2F150020logo_ila.png&w=256&q=75","ERP Developer D365 FnO","https://careerviet.vn/vi/tim-viec-lam/erp-developer-d365-fno.35C731A4.html","ILA Việt Nam","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C731A4"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-dau-tu-dia-oc-no-va.35A9CCE9.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot9%2F320489%2F115346logo-nvl.jpg&w=256&q=75","Trưởng phòng Hệ thống Tài chính","https://careerviet.vn/vi/tim-viec-lam/truong-phong-he-thong-tai-chinh.35C73198.html","Công Ty Cổ Phần Tập Đoàn Đầu Tư Địa Ốc No Va","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","30-05-2026","Cập nhật:","01-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C73198"
"https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot5%2F336645%2FCapture.JPG&w=256&q=75","Chuyên viên Product Owner","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-product-owner.35C73166.html","Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services","Lương: 25 Tr - 45 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C73166"
"https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot5%2F336645%2FCapture.JPG&w=256&q=75","Senior Business Analyst","https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C73154.html","Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services","Lương: 25 Tr - 45 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C73154"
"https://careerviet.vn/vi/nha-tuyen-dung/t-v-s-d-vietnam.35A66337.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot3%2F96823%2F155034newlogo.png&w=256&q=75","Product Safety Engineer – Machinery & Robotics - based in Hanoi","https://careerviet.vn/vi/tim-viec-lam/product-safety-engineer-machinery-robotics-based-in-hanoi.35C52D08.html","TÜV SÜD Vietnam","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","24-05-2026","Cập nhật:","01-05-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C52D08"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-i-group.35AA2413.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fstatic.careerviet.vn%2Fthemes%2Fkiemviecv32%2Fimages%2Fgraphics%2Flogo-default.png&w=256&q=75","Cyber Security IT","https://careerviet.vn/vi/tim-viec-lam/cyber-security-it.35C7324C.html","CÔNG TY CỔ PHẦN I GROUP","Lương: 13 Tr - 18 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C7324C"
"https://careerviet.vn/vi/nha-tuyen-dung/gtel-ict.35A94372.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot8%2F285298%2F153038logogtelict.png&w=256&q=75","Nhân viên dự toán đấu thầu","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-du-toan-dau-thau.35C73388.html","GTEL ICT","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","23-05-2026","Cập nhật:","01-05-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C73388"
"https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot5%2F336645%2FCapture.JPG&w=256&q=75","Senior PMO (PROJECT MANAGEMENT OFFICE)","https://careerviet.vn/vi/tim-viec-lam/senior-pmo-project-management-office.35C7317E.html","Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services","Lương: 25 Tr - 45 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","","","","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C7317E"
"https://careerviet.vn/vi/nha-tuyen-dung/t-v-s-d-vietnam.35A66337.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot3%2F96823%2F155034newlogo.png&w=256&q=75","Senior Cybersecurity Engineer (IoT / OT / ICS)","https://careerviet.vn/vi/tim-viec-lam/senior-cybersecurity-engineer-iot-ot-ics.35C733E9.html","TÜV SÜD Vietnam","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","24-05-2026","Cập nhật:","01-05-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C733E9"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-ky-thuat-thien-hat.35A8BAEE.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot0%2F250350%2F112413thienhat-logo.png&w=256&q=75","Kỹ Sư Điện Nhẹ","https://careerviet.vn/vi/tim-viec-lam/ky-su-dien-nhe.35C733AE.html","Công ty TNHH Kỹ thuật Thiên Hạt","Lương: 12 Tr - 15 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","01-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C733AE"
