"tablescraper-selected-row href","object-contain src","text-[16px]","text-[14px]","text-[14px] 2","text-se-neutral-80","tooltip-content","text-14","rounded-[8px] 2"
"https://vieclam24h.vn/it-phan-cung-mang/ky-thuat-vien-tai-dong-anh-me-linh-soc-son-c7p73id200796234.html?open_from=0201_13_25&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Kỹ Thuật Viên Tại Đông Anh, Mê Linh, Sóc Sơn !","Công Ty Cổ Phần Viễn Thông Fpt","10 - 30 triệu","Hà Nội","Hà Nội","Còn 5 ngày","Ngày hết hạn nộp hồ sơ 08/05/2026"
"https://vieclam24h.vn/it-phan-mem/network-firmware-dpi-cpe-c8p122id200795905.html?open_from=0201_13_26&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Network Firmware & Dpi (Cpe)","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-mem/camera-firmware-c8p122id200795897.html?open_from=0201_13_27&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Camera Firmware","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/ai-soc-sdk-c7p122id200795893.html?open_from=0201_13_28&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Ai Soc Sdk","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/linux-driver-engineer-c7p122id200795873.html?open_from=0201_13_29&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Linux Driver Engineer","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-mem/ml-systems-runtime-engineer-c8p122id200795869.html?open_from=0201_13_30&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Ml Systems Runtime Engineer","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-mem/ai-compiler-engineer-soc-c8p122id200795865.html?open_from=0201_14_1&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Ai Compiler Engineer (Soc)","Công Ty Cổ Phần Viễn Thông Fpt","Thoả thuận","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/ky-thuat-vien-tai-cam-lam-gan-nha-thu-nhap-on-dinh-duoc-dao-tao-1-1-c7p109id200795166.html?open_from=0201_14_2&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Kỹ Thuật Viên Tại Cam Lâm (Gần Nhà, Thu Nhập Ổn Định, Được Đào Tạo 1:1)","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","Khánh Hòa","Khánh Hòa","Còn 12 ngày","Ngày hết hạn nộp hồ sơ 15/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/ky-thuat-vien-tai-cam-ranh-gan-nha-thu-nhap-on-dinh-duoc-dao-tao-1-1-c7p109id200795150.html?open_from=0201_14_3&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Kỹ Thuật Viên Tại Cam Ranh (Gần Nhà, Thu Nhập Ổn Định, Được Đào Tạo 1:1)","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","Khánh Hòa","Khánh Hòa","Còn 12 ngày","Ngày hết hạn nộp hồ sơ 15/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/doi-truong-ky-thuat-vien-vien-thong-phan-thiet-duc-linh-tanh-linh-c7p111id200795002.html?open_from=0201_14_4&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Đội Trưởng Kỹ Thuật Viên Viễn Thông (Phan Thiết, Đức Linh, Tánh Linh)","Công Ty Cổ Phần Viễn Thông Fpt","15 - 20 triệu","Bình Thuận","Bình Thuận","Còn 12 ngày","Ngày hết hạn nộp hồ sơ 15/05/2026"
