"img_job_card href","sc-cHHTbD src","sc-cdaca-d","sc-cpgxJx","sc-cpgxJx href","sc-dauhQT","sc-jNUliw","sc-lccgLh","sc-bXWnss","sc-bXWnss 2","sc-bXWnss 3","sc-bXWnss 4"
"https://www.vietnamworks.com/software-testing-specialist-middle-junior-qc-tester-2036889-jv?source=searchResults&searchType=2&placement=2037139&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Software Testing Specialist (Middle/ Junior QC/ Tester)","Shinhan DS Vietnam Company Limited","https://www.vietnamworks.com/nha-tuyen-dung/shinhan-ds-vietnam-company-limited-c284536","Thương lượng","Hồ Chí Minh","Cập nhật: 29/04/2026","QA Engineering","Core Banking","Testing","+2"
"https://www.vietnamworks.com/logistics-specialist-2040711-jv?source=searchResults&searchType=2&placement=2040961&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Logistics Specialist","CÔNG TY TNHH AJAX SYSTEMS VIỆT NAM","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-ajax-systems-viet-nam-c405583","Thương lượng","Hưng Yên","Cập nhật: 29/04/2026","logistic management","Transportation","","+3"
"https://www.vietnamworks.com/chuyen-vien-nghien-cuu-va-ung-dung-cong-nghe-thanh-toan-2047251-jv?source=searchResults&searchType=2&placement=2047501&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Chuyên Viên Nghiên Cứu Và Ứng Dụng Công Nghệ Thanh Toán","Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-thanh-toan-quoc-gia-viet-nam-c216711","Thương lượng","Hà Nội","Cập nhật: 29/04/2026","Giao Tiếp Tiếng Anh","Lập Trình Python","","+3"
"https://www.vietnamworks.com/oracle-erp-technical-developer-oracle-erp-technical-consultant-2047188-jv?source=searchResults&searchType=2&placement=2047438&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Oracle ERP Technical Developer / Oracle ERP Technical Consultant","Công Ty Cổ Phần Tập Đoàn Masan","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-tap-doan-masan-c86487","Thương lượng","Hồ Chí Minh","Cập nhật: 29/04/2026","Oracle E-Business Suite","Oracle ERP","PL/SQL","+1"
"https://www.vietnamworks.com/oracle-erp-functional-consultant-manufacturing-san-xuat-2047176-jv?source=searchResults&searchType=2&placement=2047476&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fc0%2F11172433.png&w=3840&q=75","Oracle ERP Functional Consultant – Manufacturing (Sản Xuất)","Công Ty Cổ Phần Tập Đoàn Masan","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-tap-doan-masan-c86487","Thương lượng","Hồ Chí Minh","Cập nhật: 29/04/2026","Analytical Skills","BOM Development","Oracle ERP","+2"
"https://www.vietnamworks.com/python-developer--2043757-jv?source=searchResults&searchType=2&placement=2044057&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F91%2F11249595.png&w=3840&q=75","Python Developer","FPT Telecom","https://www.vietnamworks.com/nha-tuyen-dung/fpt-telecom-c81984","$ 1,100-1,500 /tháng","Hà Nội, Hồ Chí Minh","Cập nhật: 29/04/2026","Python","Back-end Programming","WebAPI","+2"
"https://www.vietnamworks.com/truong-bo-phan-phat-trien-ung-dung-2037214-jv?source=searchResults&searchType=2&placement=2037514&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F22%2F10252990.png&w=3840&q=75","Trưởng Bộ Phận Phát Triển Ứng Dụng","Bắc Á Bank - Https://tuyendung.baca-Bank.vn/","https://www.vietnamworks.com/nha-tuyen-dung/bac-a-bank-https-tuyendung-baca-bank-vn--c55690","Thương lượng","Hà Nội","Cập nhật: 29/04/2026","React","Node.js","Vue.js","+1"
"https://www.vietnamworks.com/ai-operations-specialist-english-speaking-2036527-jv?source=searchResults&searchType=2&placement=2036827&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","AI Operations Specialist (English-Speaking)","BAYLINK SHIPPING INC.","https://www.vietnamworks.com/nha-tuyen-dung/baylink-shipping-inc--c413179","Thương lượng","Hồ Chí Minh","Cập nhật: 28/04/2026","Logistics","AI","AI","+4"
"https://www.vietnamworks.com/chuyen-vien-quan-ly-du-an-2027157-jv?source=searchResults&searchType=2&placement=2027457&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Chuyên Viên Quản Lý Dự Án","Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-thanh-toan-quoc-gia-viet-nam-c216711","Thương lượng","Hà Nội","Cập nhật: 28/04/2026","Quản Lý Dự Án","Phân tích nghiệp vụ","Ứng Dụng IOS","+2"
"https://www.vietnamworks.com/sales-manager-it-solutions-bankingfinance-2040194-jv?source=searchResults&searchType=2&placement=2040494&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Sales Manager - IT Solutions (Banking/Finance)","Shinhan DS Vietnam Company Limited","https://www.vietnamworks.com/nha-tuyen-dung/shinhan-ds-vietnam-company-limited-c284536","Thương lượng","Hồ Chí Minh","Cập nhật: 28/04/2026","Sales Strategy","Channel Relationship Management","","+3"
"https://www.vietnamworks.com/ky-su-van-hanh-he-thong-2043677-jv?source=searchResults&searchType=2&placement=2043977&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kỹ Sư Vận Hành Hệ Thống","Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hóa Dầu Khí (PAIC)","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-thong-tin-vien-thong-va-tu-dong-hoa-dau-khi-paic--c289529","250tr-400tr ₫/năm","Hà Nội","Cập nhật: 28/04/2026","Hệ Thống Ảo Hóa","Open Source Software","","+3"
"https://www.vietnamworks.com/djieu-phoi-vien-du-an-2043673-jv?source=searchResults&searchType=2&placement=2043973&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Điều Phối Viên Dự Án","Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hóa Dầu Khí (PAIC)","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-thong-tin-vien-thong-va-tu-dong-hoa-dau-khi-paic--c289529","250tr-400tr ₫/năm","Hà Nội","Cập nhật: 28/04/2026","Cross Functional Teams","Giao Tiếp Khách Hàng","","+3"
"https://www.vietnamworks.com/cong-ty-nhat-tuyen-ky-su-lap-trinh-python-2036652-jv?source=searchResults&searchType=2&placement=2036952&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Công Ty Nhật Tuyển Kỹ Sư Lập Trình PYTHON","CÔNG TY TNHH NHÂN LỰC ĐỒNG BẰNG","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-nhan-luc-dong-bang-c416786","15tr-30tr ₫/tháng","Hồ Chí Minh","Cập nhật: 28/04/2026","Python Programming","Web Application Technology","","+3"
"https://www.vietnamworks.com/nhan-vien-cong-nghe-thong-tin-kiem-dich-vu-ho-tro-2046980-jv?source=searchResults&searchType=2&placement=2047280&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Nhân Viên Công Nghệ Thông Tin Kiêm Dịch Vụ Hỗ Trợ","Công Ty Chứng Khoán Yuanta Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-chung-khoan-yuanta-viet-nam-c266253","Thương lượng","Bình Dương","Cập nhật: 28/04/2026","Quản Trị Hệ Thống Máy Tính","Cài Đặt Phần Mềm","","+3"
"https://www.vietnamworks.com/nhan-vien-it--2031126-jv?source=searchResults&searchType=2&placement=2031426&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Nhân Viên IT","Son Ha Spice & Flavorings/pacific Basin Partnership - Mitani Corporation","https://www.vietnamworks.com/nha-tuyen-dung/son-ha-spice-flavorings-pacific-basin-partnership-mitani-corporation-c17211","Thương lượng","Yên Bái","Cập nhật: 28/04/2026","It","IT Support","LAN","+2"
"https://www.vietnamworks.com/portfolio-management-officer--2036600-jv?source=searchResults&searchType=2&placement=2036900&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Portfolio Management Officer","Tập Đoàn Sun Group","https://www.vietnamworks.com/nha-tuyen-dung/tap-doan-sun-group-c103314","Thương lượng","Hà Nội","Cập nhật: 28/04/2026","Program Management","Portfolio Management","","+3"
"https://www.vietnamworks.com/ky-su-pham-mem-nhung-2030527-jv?source=searchResults&searchType=2&placement=2030827&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kỹ Sư Phầm Mềm Nhúng","Công Ty Cổ Phần Công Nghệ Công Nghiệp Bưu Chính Viễn Thông - VNPT Technology","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-cong-nghiep-buu-chinh-vien-thong-vnpt-technology-c199353","Thương lượng","Hà Nội","Cập nhật: 28/04/2026","Embedded Linux","C Programming Language","","+3"
