"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","TypographyStyles__StyledTypography-sc-ro16eu-0","CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-28"
"Automation Tester (Bangkok based)","https://glints.com/vn/opportunities/jobs/automation-tester-bangkok-based/b8ccc62a-b7c8-44f9-9394-0d5bcbdeb55b?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Automation Testing","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"QC AUTOMATION (Bangkok based)","https://glints.com/vn/opportunities/jobs/qc-automation-bangkok-based/d94f5de2-9989-464e-adcc-001eb5422f9f?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 30-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","QA Testing","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Python Developer","https://glints.com/vn/opportunities/jobs/python-developer/9b3dfdf0-a6aa-46db-9f93-dcd8b6f37826?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 15-35 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Application Development","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dd0b3ac359134639c75766fa6a6c72a2.jpg","SotaTek","https://glints.com/vn/companies/sotatek/48c0bb86-7c5d-4391-8af0-fdc032279471","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","",""
"Frontend Engineer","https://glints.com/vn/opportunities/jobs/frontend-engineer/66e30895-1779-40c7-8dfc-4d19bb02a071?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 15-17 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Refactor","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/6b132392227970bb4bec34c6d6d4eab0.png","Mac Marketing","https://glints.com/vn/companies/mac-marketing/093e23a1-65a6-41c0-98f4-5c1297831cff","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"QC AUTOMATION (Bangkok based)","https://glints.com/vn/opportunities/jobs/qc-automation-bangkok-based/87b7206e-b753-4681-8a12-b586b3bdc1cb?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 30-40 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Quality Assurance","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"QC AUTOMATION","https://glints.com/vn/opportunities/jobs/qc-automation/365355c0-2736-47fc-bef7-2ffad0710fcd?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 30-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","Quality Assurance","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Data Analyst","https://glints.com/vn/opportunities/jobs/data-analyst/134fd43b-e33e-4f1b-9548-c39993f3b956?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 55-75 Tr","Hybrid","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/55c30081c4243b330ffaa7fd661a714f.png","CÔNG TY TNHH KỸ THUẬT XÂY DỰNG TECHCONS","https://glints.com/vn/companies/cong-ty-tnhh-ky-thuat-xay-dung-techcons/4af9c996-8a51-4238-93f5-5d64f20f8c86","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"SOFTWARE DEVELOPER INTERNSHIP","https://glints.com/vn/opportunities/jobs/software-developer-internship/6531e6dd-2be7-45a3-a408-565941f0a7ec?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Python","+28","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dcb764f2832e7b10797e7edf767f620b.jpg","WEALLNET","https://glints.com/vn/companies/weallnet/bff83e64-d4e5-483e-82bf-d8051e741308","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"Nhân viên vận hành sàn Tik Tok","https://glints.com/vn/opportunities/jobs/nhan-vien-van-hanh-san-tik-tok/f3cfd3e0-7baa-4992-b592-bc10bc24f417?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 12-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","TikTok","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/f6d031984ddfc6280a533337c866e976.png","Công ty TNHH Nemi Ads Agency","https://glints.com/vn/companies/cong-ty-tnhh-nemi-ads-agency/c40b178d-7de6-411b-a07d-ede86348e063","Quận Đống Đa","https://glints.com/vn/job-location/vietnam/ha-noi/quan-dong-da","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","",""
"Software Engineer (Bangkok based)","https://glints.com/vn/opportunities/jobs/software-engineer-bangkok-based/07adc1be-372b-4dda-ad1e-f7fde9e4c735?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 40-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","MySQL","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"FRESHER SOFTWARE DEVELOPER","https://glints.com/vn/opportunities/jobs/fresher-software-developer/38781f3e-abe9-48e4-ab40-a63ee271b48b?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Software Testing","+32","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dcb764f2832e7b10797e7edf767f620b.jpg","WEALLNET","https://glints.com/vn/companies/weallnet/bff83e64-d4e5-483e-82bf-d8051e741308","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"Software Engineer (Bangkok based)","https://glints.com/vn/opportunities/jobs/software-engineer-bangkok-based/0cab8536-15c7-4611-abcc-97bb4be57ae2?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 35-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","MongoDB","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"DATA ENGINEER","https://glints.com/vn/opportunities/jobs/data-engineer/2d374394-c257-4159-80c9-af55986f09e4?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 40-50 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","ETL","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Tester","https://glints.com/vn/opportunities/jobs/tester/bef01412-90de-4905-923b-e347dbabc1ff?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 35-45 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Bằng Liên Kết","Regression Testing","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Trợ Lý Team Tik Tok","https://glints.com/vn/opportunities/jobs/tro-ly-team-tik-tok/fe99313c-1496-4624-91a5-fb4ed5e445de?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 7-9 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","Media Planning","Microsoft Office","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/11ec15a28d412ba9159117976ac2f777.jpg","Công ty TNHH HOTAKI","https://glints.com/vn/companies/cong-ty-tnhh-hotaki/092a2e1b-a4a5-49d2-9e4e-785d4ff4ce29","Quận Bình Tân","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-binh-tan","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"QC Engineer","https://glints.com/vn/opportunities/jobs/qc-engineer/ce909e03-207f-4ca6-bdb0-066b5d5fde47?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 60-70 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Java","+2","https://glints.com/images/default-company-logo.webp","CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM GS INDUSTRY","https://glints.com/vn/companies/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-viet-nam-gs-industry/1307feb1-fca6-45b7-b8df-87e18baa524e","Quận Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Test Engineer (Software)","https://glints.com/vn/opportunities/jobs/test-engineer-software/2896268b-697b-4f62-ba1a-574fef81091c?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 30-50 Tr","Hybrid","Việc làm fulltime","3 – 5 năm","Tối thiểu Bằng Liên Kết","+7","https://glints.com/images/default-company-logo.webp","CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM GS INDUSTRY","https://glints.com/vn/companies/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-viet-nam-gs-industry/1307feb1-fca6-45b7-b8df-87e18baa524e","Quận Bốn","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bon","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Nhân viên vận hành sàn Tik Tok","https://glints.com/vn/opportunities/jobs/nhan-vien-van-hanh-san-tik-tok/83c7c1af-e00e-4c81-8139-b7072d1f9ae4?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 10-25 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Customer Service","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/c68986335b11ca9c6dfd250d3dc86447.jpg","Công ty Cổ phần NEMI","https://glints.com/vn/companies/cong-ty-co-phan-nemi/1e5ef268-3a36-47c5-9faf-65fadffecab0","Quận Đống Đa","https://glints.com/vn/job-location/vietnam/ha-noi/quan-dong-da","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","",""
"Junior Python","https://glints.com/vn/opportunities/jobs/junior-python/e02c09d5-48df-44a1-8064-344a953ece03?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 15-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","MongoDB","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/aaef3f3a69c40337abe90f5824a6975e.png","Công ty TNHH SAGO CAR","https://glints.com/vn/companies/cong-ty-tnhh-sago-car/31bd0f84-b886-454a-8b4e-ac1278aed05c","Quận Hai Bà Trưng","https://glints.com/vn/job-location/vietnam/ha-noi/quan-hai-ba-trung","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","",""
"Backend Developer Intern (Java/PHP/Python/Node.Js)","https://glints.com/vn/opportunities/jobs/backend-developer-intern-java-php-python-nodejs/48f24023-90c0-443b-8242-e336f9bc9aeb?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 2-2,4 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","Node.js","Microsoft SQL Server","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/cba86a021fafadaafaa8b8819d503b40.png","Công Ty Chứng Khoán Phú Hưng","https://glints.com/vn/companies/cong-ty-chung-khoan-phu-hung/f309ff1c-1568-4f16-ad4d-13ffa27a5970","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Chuyên Viên Phân Tích Dữ Liệu Cao Cấp","https://glints.com/vn/opportunities/jobs/chuyen-vien-phan-tich-du-lieu-cao-cap/c2944096-d319-4b21-a5e2-95e2e4ec945d?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Python","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/02227ced40baf7f2d2530137832c408e.jpg","Công Ty Chứng Khoán Acb","https://glints.com/vn/companies/cong-ty-chung-khoan-acb/a3af683d-1433-424e-b60a-8df144124545","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"Graphic Designer (Vận dụng AI)","https://glints.com/vn/opportunities/jobs/graphic-designer-van-dung-ai/b9bc89eb-997b-4dc8-b32f-000c0e368e32?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 15-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","Brand Design","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a3ca850d382c36a4f7919ca2f8a6479a.png","YaoYao Vietnam Info Tech Limited Company","https://glints.com/vn/companies/yaoyao-vietnam-info-tech-limited-company/3663ec88-d36b-4ff7-9b23-a31f529aa2b8","Quận Phú Nhuận","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-phu-nhuan","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Data Analytics Internship","https://glints.com/vn/opportunities/jobs/data-analytics-internship/0f0fc93b-f0da-4e0e-8774-cf2a8386c32b?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 3-4 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","SQL","CRM","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7307b20177ba0a457c5007211a7a00b7.png","VITA DAIRY VN","https://glints.com/vn/companies/vita-dairy-vn/a240b76f-234b-4d25-944a-d910c86a1c27","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"[HCM] Ecommerce Executive","https://glints.com/vn/opportunities/jobs/hcm-ecommerce-executive/98234b6a-443e-46c0-b440-3b08c4686e98?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","Tối thiểu Cử Nhân","Digital Marketing","Google Analytics","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/1ee868a1e2afc767e2dc30468ca127b5.jpg","CÔNG TY TNHH THIẾT BỊ THÔNG MINH O-TECH VIỆT NAM","https://glints.com/vn/companies/cong-ty-tnhh-thiet-bi-thong-minh-o-tech-viet-nam/b0b22d73-f1d6-40c1-b40f-cdb5cd4538e1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"ERP Software Sales Specialist","https://glints.com/vn/opportunities/jobs/erp-software-sales-specialist/ba2b71e3-7c90-4202-ad41-b39d34ea322a?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 15-30 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","ERP Software","+11","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dd0b3ac359134639c75766fa6a6c72a2.jpg","SotaTek","https://glints.com/vn/companies/sotatek/48c0bb86-7c5d-4391-8af0-fdc032279471","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Technical Operations Executive","https://glints.com/vn/opportunities/jobs/technical-operations-executive/db10f831-c412-45b4-91ab-dc062f0744c2?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Việc làm fulltime","Tối thiểu Cử Nhân","Server Technical Support","IT Technical Support","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/3669c99908432c36f3150f66d8df8522.png","CÔNG TY CỔ PHẦN SOCIAL ELITE","https://glints.com/vn/companies/cong-ty-co-phan-social-elite/f5489995-4151-4b99-a755-2cc5cbe040c6","Quận Mười","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"HR Training & Development Executive","https://glints.com/vn/opportunities/jobs/hr-training-and-development-executive/9c47acea-62fb-4d1e-9252-62f364e2e97c?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","₫ 30-35 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Training","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Tám","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tam","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Software Engineer Intern - Fullstack","https://glints.com/vn/opportunities/jobs/software-engineer-intern-fullstack/a565d9e3-77e1-48e2-a6a2-dfe33fce6f1a?utm_referrer=explore&traceInfo=8ce92cd371912412a3aa29344fbdda5f","","Thực Tập","Tối thiểu Cao Đẳng","React.js","Node.js","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/e5f3c7b1ad9488d8b18f142920348bb6.jpg","Edtronaut","https://glints.com/vn/companies/edtronaut/41541ce6-616c-4eea-8978-fd7eec33712f","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"Senior Technical ERP Consultant","https://glints.com/vn/opportunities/jobs/senior-technical-erp-consultant/160f90ca-c50a-494e-aed2-c9ec9da0de6c?utm_referrer=explore&traceInfo=807fd72e3099827f708537396a9ab2d9","","Hybrid","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7b98c1ed57e35ffff5171ef90ef33a17.png","Novobi","https://glints.com/vn/companies/novobi/7d062943-ae7e-453d-b5e7-49c2e1a18452","Quận Mười","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","","Không công khai"
"HR Learning & Development Executive","https://glints.com/vn/opportunities/jobs/hr-learning-and-development-executive/2a344805-92f9-4eaa-9941-c1a28cce221f?utm_referrer=explore&traceInfo=807fd72e3099827f708537396a9ab2d9","₫ 30-35 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","IT Training","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
"Technical PM/BA","https://glints.com/vn/opportunities/jobs/technical-pm-ba/ff4d99e4-c722-40d6-bb1f-4960ab2a037e?utm_referrer=explore&traceInfo=807fd72e3099827f708537396a9ab2d9","₫ 20-23 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","API Development","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/6b132392227970bb4bec34c6d6d4eab0.png","Mac Marketing","https://glints.com/vn/companies/mac-marketing/093e23a1-65a6-41c0-98f4-5c1297831cff","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","",""
