"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/nhan-vien-dieu-phoi-du-an-tai-ho-chi-minh-nghi-thu-7-chu-nhat-26650797192.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Điều Phối Dự Án - Tại Hồ Chí Minh - Nghỉ Thứ 7, Chủ Nhật","JobsGO Recruit","9 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-van-hanh-don-hang-thuong-mai-dien-tu-thoi-trang-26661483865.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485364-200x200.jpg?v=1776935305","Nhân Viên Vận Hành Đơn Hàng Thương Mại Điện Tử (Thời Trang)","Công Ty TNHH Thời Trang HEBOZ","7 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 0.5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/ky-su-thiet-ke-phan-cung-dien-tu-electronic-hardware-engineer-japanese-chinese-speaking-26668680735.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/61319-200x200.jpg?v=1698310624","Kỹ Sư Thiết Kế Phần Cứng Điện Tử (Electronic Hardware Engineer | Japanese/Chinese Speaking)","Công Ty Tnhh Công Nghệ Phần Mềm Sharework","Từ 11 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 2 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-ky-thuat-26674669074.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/28942-200x200.jpg?v=1668396462","Thực Tập Sinh Kỹ Thuật","Công Ty Cổ Phần Thương Mại Dịch Vụ Phong Vũ","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/e-commerce-project-management-trainee-program-26675157918.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/80284-200x200.jpg?v=1638519491","E-commerce Project Management (Trainee Program)","Công Ty Cổ Phần Công Nghệ Upbase","7 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/tuyen-dung-thuc-tap-sinh-trien-khai-phan-mem-website-26675578867.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","Tuyển Dụng Thực Tập Sinh Triển Khai Phần Mềm/ Website","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-trien-khai-du-an-y-te-cong-26683278160.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/37343-200x200.jpg?v=1575874924","Chuyên Viên Triển Khai Dự Án Y Tế Công","Công Ty Cổ Phần Ứng Dụng PKH","12 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/purchasing-leader-mang-xay-dung-tieng-nhat-26687446913.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/98275-200x200.jpg?v=1768547435","Purchasing Leader (Mảng Xây Dựng, Tiếng Nhật)","Công Ty TNHH Giải Pháp Nhân Sự Global Door","20 - 26 triệu VNĐ","Hồ Chí Minh","Full-time","3 - 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kiem-thu-phan-mem-tester-26700849386.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/5634-200x200.jpg?v=1776658903","Nhân Viên Kiểm Thử Phần Mềm (Tester)","Công Ty Cổ Phần Tiếp Vận Quốc Tế Rồng Xanh","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 2 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/ky-thuat-giao-nhan-lap-dat-thiet-bi-di-lam-ngay-26701949285.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/101754-200x200.jpg?v=1775014233","Kỹ Thuật – Giao Nhận & Lắp Đặt Thiết Bị (Đi Làm Ngay)","CÔNG TY TNHH ADAVI","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","7 phút trước"
